h  k  l  I  sigma(I)  peak  background  fs/px  ss/px  panel
-6 -26 -34 -80.27 131.69 105.0 51.17 946.6 1322.1 q2a14 
-6 -24 -28 -61.62 214.04 245.0 60.83 949.0 1403.1 q2a14 
-6 -8 3 288.27 95.39 300.0 30.71 827.3 197.4 q2a2 
-6 10 22 -183.65 133.48 110.0 53.85 552.5 134.7 q1a0 
-6 16 26 460.86 136.89 206.0 67.74 517.8 36.4 q1a0 
-6 30 33 88.86 74.91 106.0 41.74 611.2 702.6 q1a7 
-5 -29 -51 206.27 80.56 72.0 30.55 985.8 1123.9 q2a13 
-5 -27 -42 163.55 97.72 82.0 35.52 981.4 1250.8 q2a13 
-5 -23 -28 -7.63 180.17 193.0 65.3 981.0 1410.9 q2a15 
-5 -17 -14 -102.95 89.42 81.0 42.63 1057.6 198.2 q2a3 
-5 -5 5 233.14 105.02 196.0 28.94 787.3 239.5 q2a2 
-5 1 12 587.9 131.22 559.0 19.9 567.8 284.1 q1a2 
-5 3 14 4153.38 226.77 2635.0 22.62 558.4 248.3 q1a2 
-5 5 16 1298.06 138.92 1001.0 21.94 549.0 212.4 q1a2 
-5 11 21 932.21 132.55 554.0 50.59 517.1 138.8 q1a0 
-5 15 24 -252.24 167.41 185.0 67.64 494.6 71.7 q1a0 
-5 17 25 98.18 120.4 119.0 63.42 481.9 40.9 q1a0 
-5 29 31 -80.35 71.35 72.0 44.15 650.4 726.3 q1a7 
-5 35 33 -70.56 101.21 72.0 30.56 375.4 1181.8 q0a13 
-4 -28 -52 29.61 74.13 81.0 32.99 1025.6 1121.3 q2a13 
-4 -26 -42 -153.64 84.74 87.0 35.56 1017.6 1260.1 q2a13 
-4 -24 -35 29.38 82.72 93.0 55.83 1016.7 1327.8 q2a15 
-4 -22 -29 123.44 174.95 215.0 64.44 1017.8 1408.0 q2a15 
-4 -18 -19 1398.28 164.61 422.0 55.28 1115.3 228.6 q2a3 
-4 -16 -15 -110.34 86.13 71.0 41.35 1060.6 233.7 q2a3 
-4 -14 -11 -92.7 74.92 74.0 39.59 1006.7 238.8 q2a3 
-4 -10 -4 -20.09 100.04 81.0 31.96 912.9 250.8 q2a2 
-4 -8 -1 -10.19 71.83 64.0 31.49 869.3 257.9 q2a2 
-4 0 9 9275.95 319.39 3856.0 23.45 542.4 323.3 q1a2 
-4 2 11 60.0 92.1 79.0 22.0 533.0 287.7 q1a2 
-4 4 13 -32.46 84.18 64.0 21.85 523.5 252.0 q1a2 
-4 6 15 -67.22 78.67 53.0 23.02 514.1 216.2 q1a2 
-4 12 20 260.78 75.33 81.0 48.02 481.8 143.0 q1a0 
-4 16 23 62.06 81.25 105.0 59.94 459.0 76.0 q1a0 
-4 18 24 -44.0 131.23 152.0 65.0 446.1 45.3 q1a0 
-3 -27 -53 49.44 64.78 60.0 33.26 1065.3 1118.7 q2a13 
-3 -25 -43 -86.82 105.37 101.0 39.08 1055.7 1257.3 q2a13 
-3 -23 -36 -121.27 116.68 88.0 55.74 1054.0 1325.0 q2a15 
-3 -21 -30 -51.36 100.01 124.0 62.91 1054.4 1405.1 q2a15 
-3 -17 -20 132.52 136.86 202.0 53.89 1118.3 264.3 q2a3 
-3 -11 -8 160.26 120.12 98.0 27.16 959.8 278.6 q2a2 
-3 -9 -5 5517.82 256.31 3557.0 33.64 916.1 285.6 q2a2 
-3 -7 -2 1673.73 136.52 1371.0 28.07 872.6 292.6 q2a2 
-3 -5 1 176.18 67.97 61.0 28.79 829.3 299.6 q2a2 
-3 -1 6 34.45 70.05 53.0 19.91 517.2 362.2 q1a2 
-3 1 8 -24.64 77.11 73.0 20.87 507.8 326.8 q1a2 
-3 7 14 -145.77 81.02 54.0 20.08 479.2 219.9 q1a2 
-3 13 19 -61.62 70.17 73.0 48.62 446.6 147.2 q1a0 
-3 19 23 -329.85 153.46 159.0 69.65 410.4 49.7 q1a0 
-3 21 24 43.04 142.69 131.0 67.16 396.9 18.5 q1a0 
-3 27 27 -347.1 137.55 108.0 61.9 376.0 1329.9 q0a15 
-3 35 30 44.35 119.73 158.0 34.85 314.2 1227.4 q0a13 
-3 39 31 10.67 64.69 57.0 30.93 279.5 1161.6 q0a13 
-2 -24 -44 11.46 124.68 154.0 39.28 1093.7 1254.6 q2a13 
-2 -22 -37 65.64 133.07 186.0 58.99 1091.1 1322.2 q2a15 
-2 -20 -31 -52.45 114.82 128.0 65.66 1090.9 1402.2 q2a15 
-2 -10 -9 440.39 123.12 154.0 25.05 963.0 313.4 q2a2 
-2 -8 -6 115.17 90.46 88.0 29.51 919.3 320.3 q2a2 
-2 -6 -3 1128.9 120.81 577.0 30.29 875.9 327.2 q2a2 
-2 -4 0 71.86 97.43 87.0 37.06 832.6 334.1 q2a2 
-2 2 7 84.88 63.8 46.0 18.96 473.2 330.4 q1a2 
-2 4 9 31.27 57.36 39.0 18.18 463.7 294.9 q1a2 
-2 6 11 205.55 67.81 48.0 16.38 454.1 259.4 q1a2 
-2 8 13 3585.05 199.5 3175.0 18.55 444.5 223.6 q1a2 
-2 14 18 39.18 73.87 78.0 46.42 411.6 151.3 q1a0 
-2 24 24 611.25 295.55 474.0 75.75 367.6 1399.0 q0a15 
-2 26 25 86.07 132.59 150.0 62.33 353.6 1367.0 q0a15 
-2 38 29 176.89 78.25 58.0 31.51 256.8 1202.7 q0a13 
-1 -23 -46 128.09 133.67 108.0 38.32 1134.4 1239.7 q2a13 
-1 -21 -38 27.31 181.6 198.0 63.97 1128.1 1319.4 q2a15 
-1 -19 -32 524.03 184.03 247.0 69.69 1127.2 1399.3 q2a15 
-1 -15 -22 -289.95 143.62 111.0 49.84 1124.2 335.4 q2a3 
-1 -11 -14 -100.1 90.31 82.0 38.04 1016.0 343.9 q2a3 
-1 -7 -7 2062.55 162.15 1178.0 28.21 922.5 354.9 q2a2 
-1 -5 -4 147.69 78.19 92.0 33.23 879.1 361.7 q2a2 
-1 3 6 -5.03 92.08 100.0 25.23 438.8 333.9 q1a2 
-1 5 8 5584.5 249.63 4026.0 20.5 429.2 298.5 q1a2 
-1 7 10 710.12 116.1 469.0 19.88 419.6 263.0 q1a2 
-1 31 25 -22.89 100.46 95.0 54.49 284.5 1312.0 q0a15 
-1 37 27 172.76 80.96 72.0 30.64 234.5 1243.0 q0a13 
0 -24 -60 94.44 76.63 112.0 31.26 1204.0 722.3 q3a6 
0 -24 -59 -32.82 87.53 96.0 31.51 1217.7 725.6 q3a6 
0 12 12 32.7 63.81 66.0 30.7 240.5 361.7 q0a3 
0 16 15 -33.94 75.89 73.0 35.94 306.1 338.5 q0a3 
0 20 18 0.15 369.52 370.0 57.45 372.8 314.8 q0a3 
0 24 20 241.38 169.07 282.0 74.62 306.3 1445.5 q0a15 
0 26 21 -228.68 123.61 147.0 67.08 292.0 1414.0 q0a15 
0 28 22 2128.28 171.08 851.0 60.52 277.5 1382.0 q0a15 
0 30 23 90.64 111.19 109.0 56.76 262.8 1349.6 q0a15 
0 36 25 36.4 92.13 84.0 34.4 212.7 1282.5 q0a13 
0 42 26 -145.41 82.71 61.0 31.21 157.9 1188.0 q0a12 
1 -23 -63 100.81 77.02 65.0 27.19 1173.7 675.0 q3a6 
1 -23 -62 165.18 81.1 96.0 29.36 1187.7 678.7 q3a6 
1 -19 -42 -70.27 146.54 168.0 47.74 1462.5 711.7 q3a7 
1 -13 -25 -193.99 131.77 108.0 54.04 1189.4 106.8 q3a0 
1 -7 -13 394.32 97.4 299.0 22.32 1201.5 239.3 q3a2 
1 9 7 33.8 89.64 64.0 23.13 168.2 346.9 q0a2 
1 19 15 -110.6 99.89 128.0 40.4 332.0 289.8 q0a3 
1 31 21 224.45 130.72 118.0 56.95 222.2 1360.2 q0a15 
1 33 22 -77.35 101.84 108.0 55.15 206.9 1327.3 q0a15 
1 41 24 -159.66 94.47 75.0 32.46 136.3 1229.1 q0a12 
2 -20 -53 111.09 100.61 90.0 31.9 1329.5 657.4 q3a6 
2 -18 -44 -92.45 102.06 113.0 45.09 1448.2 671.3 q3a7 
2 -16 -37 576.11 292.65 411.0 62.67 1540.6 677.8 q3a7 
2 -14 -31 167.19 138.22 124.0 63.42 1223.9 38.1 q3a0 
2 -10 -22 171.01 79.57 284.0 43.96 1228.5 158.3 q3a0 
2 2 -3 8509.3 356.5 3794.0 49.38 15.6 348.4 q0a2 
2 14 9 61.99 64.03 70.0 31.63 225.9 289.0 q0a3 
2 18 12 175.89 74.1 106.0 35.51 291.4 265.0 q0a3 
2 34 20 194.18 123.57 110.0 49.42 168.7 1337.9 q0a14 
2 42 22 -29.19 58.58 65.0 30.19 93.1 1239.8 q0a12 
3 -19 -57 -83.41 76.98 63.0 32.64 1288.5 607.6 q3a6 
3 -19 -56 95.18 61.88 72.0 29.36 1301.4 611.5 q3a6 
3 -17 -47 -211.19 133.6 161.0 42.27 1422.2 627.0 q3a7 
3 -15 -39 89.34 165.4 119.0 52.07 1526.9 638.0 q3a7 
3 -9 -24 154.72 71.06 113.0 46.15 1266.7 145.5 q3a0 
3 -3 -13 -10.82 56.26 56.0 21.69 1280.3 268.0 q3a2 
3 -1 -10 772.41 114.38 507.0 23.75 1286.7 311.6 q3a2 
3 7 0 83.36 60.24 93.0 26.93 82.6 294.5 q0a2 
3 9 2 165.82 80.6 255.0 28.53 118.0 284.5 q0a2 
3 11 4 1481.45 143.31 431.0 25.64 153.6 274.5 q0a2 
3 17 9 95.64 70.92 61.0 32.84 251.1 240.4 q0a3 
3 23 13 -118.64 196.17 187.0 62.01 347.4 201.4 q0a3 
3 29 16 182.68 174.23 196.0 59.92 178.9 1439.8 q0a14 
3 35 18 -44.5 74.68 72.0 48.5 127.2 1348.6 q0a14 
3 43 20 -62.61 69.56 59.0 30.01 49.6 1250.6 q0a12 
4 -16 -50 -85.39 80.06 65.0 38.95 1395.6 581.9 q3a7 
4 -14 -42 -26.45 110.68 125.0 49.66 1502.0 594.3 q3a7 
4 -10 -31 -175.01 246.8 230.0 68.96 1305.4 67.4 q3a0 
4 -8 -26 183.29 125.34 214.0 48.71 1305.1 132.6 q3a0 
4 -2 -15 356.17 112.27 487.0 25.51 1318.2 256.0 q3a2 
4 0 -12 6478.87 271.72 4867.0 23.53 1324.6 299.8 q3a2 
4 2 -9 166.51 103.84 189.0 18.54 1330.9 343.3 q3a2 
4 6 -4 110.12 60.19 52.0 23.88 36.0 266.6 q0a2 
4 8 -2 5707.36 243.23 2988.0 25.44 71.3 256.5 q0a2 
4 10 0 1185.9 121.9 675.0 28.06 106.8 246.5 q0a2 
4 12 2 1635.01 146.23 874.0 28.37 142.4 236.4 q0a2 
4 18 7 31.39 83.81 75.0 36.38 240.2 201.7 q0a3 
4 26 12 397.65 207.27 253.0 73.72 366.6 174.0 q0a1 
4 30 14 -221.9 162.07 163.0 62.1 138.4 1450.6 q0a14 
4 36 16 -104.91 79.51 84.0 45.71 85.4 1359.4 q0a14 
5 -9 -33 59.08 258.21 269.0 75.24 1344.6 54.1 q3a0 
5 9 -4 2118.84 160.35 1448.0 26.49 60.0 218.4 q0a2 
5 11 -2 418.52 82.47 273.0 26.05 95.5 208.2 q0a2 
5 13 0 1534.65 137.2 621.0 28.99 131.3 198.0 q0a2 
5 27 10 63.48 182.67 174.0 67.56 355.5 134.0 q0a1 
5 37 14 152.43 83.24 74.0 42.17 43.3 1370.3 q0a14 
5 49 16 -23.47 70.84 76.0 27.27 121.1 798.4 q0a8 
5 51 16 154.94 58.81 50.0 26.06 89.0 824.2 q0a8 
5 53 16 -149.29 66.26 50.0 27.09 56.1 850.6 q0a8 
6 -14 -60 -299.96 117.12 81.0 27.35 1292.7 498.0 q3a4 
6 -14 -59 -241.43 117.06 92.0 28.91 1305.7 502.8 q3a4 
6 -12 -50 -83.68 70.53 60.0 32.22 1427.1 523.8 q3a5 
6 -12 -49 -80.44 80.8 94.0 31.11 1438.9 528.2 q3a5 
6 -10 -42 -82.63 173.88 145.0 42.71 1532.4 539.2 q3a5 
6 -8 -36 -3.08 138.61 130.0 62.25 1385.1 30.3 q3a1 
6 -6 -31 42.1 202.48 233.0 72.39 1383.8 96.7 q3a1 
6 -4 -27 130.19 171.17 300.0 56.14 1386.4 151.9 q3a1 
6 6 -11 2517.33 168.67 1348.0 28.67 1414.4 355.2 q3a3 
6 18 1 -37.49 126.4 113.0 49.68 184.0 162.3 q0a0 
6 22 4 695.76 162.15 478.0 70.64 246.8 136.2 q0a1 
6 34 10 122.9 99.41 112.0 48.06 34.9 1446.9 q0a14 
6 36 11 89.75 107.02 112.0 48.25 18.1 1414.3 q0a14 
6 48 13 -227.22 110.49 75.0 31.02 168.9 825.1 q0a8 
7 -13 -69 25.7 66.28 62.0 22.7 1181.3 417.7 q3a4 
7 -13 -68 103.75 60.74 49.0 21.25 1195.4 423.1 q3a4 
7 -11 -55 12.11 65.04 57.0 27.3 1376.2 467.5 q3a5 
7 -11 -54 -46.0 78.08 78.0 29.0 1388.5 472.3 q3a5 
7 -9 -46 365.21 187.79 250.0 38.55 1496.3 489.3 q3a5 
7 -3 -30 3142.66 206.51 1022.0 61.99 1429.7 129.2 q3a1 
7 3 -19 72.83 71.75 61.0 29.49 1440.8 255.1 q3a3 
7 5 -16 -50.15 68.7 69.0 30.55 1446.9 299.4 q3a3 
7 11 -9 281.31 85.49 95.0 46.97 28.3 166.1 q0a0 
7 17 -3 1043.71 159.36 626.0 58.56 136.3 133.9 q0a0 
7 25 3 231.6 122.47 197.0 70.09 265.3 80.6 q0a1 
7 27 4 -64.61 96.37 125.0 65.01 295.5 64.5 q0a1 
7 29 5 38.81 107.38 115.0 63.19 326.2 48.1 q0a1 
7 31 6 269.57 143.78 153.0 58.83 357.3 31.5 q0a1 
7 39 9 79.54 78.02 75.0 30.66 333.8 759.2 q0a9 
7 45 10 90.0 61.16 64.0 27.57 243.0 826.0 q0a9 
7 57 10 -61.38 58.51 54.0 21.38 55.7 963.0 q0a10 
7 59 10 37.64 51.29 46.0 19.76 20.7 993.2 q0a10 
8 -10 -62 -18.56 64.41 66.0 24.56 1300.4 398.4 q3a4 
8 -10 -61 -120.09 86.74 64.0 24.82 1313.5 403.7 q3a4 
8 -8 -51 -83.92 63.91 53.0 29.45 1447.6 433.2 q3a5 
8 -6 -44 141.89 124.08 123.0 35.68 1541.7 446.5 q3a5 
8 -4 -38 66.48 97.2 102.0 54.48 1476.2 39.2 q3a1 
8 -2 -33 189.72 218.31 282.0 68.72 1473.8 106.1 q3a1 
8 0 -29 -5.93 164.87 195.0 74.2 1475.8 161.7 q3a1 
8 4 -22 232.75 151.43 237.0 42.25 1484.2 233.9 q3a3 
8 6 -19 376.61 144.95 342.0 41.95 1490.3 278.6 q3a3 
8 8 -16 -203.44 136.56 103.0 39.32 1496.3 323.1 q3a3 
8 10 -14 551.93 178.19 183.0 38.96 1506.9 358.9 q3a3 
8 20 -4 1229.54 188.15 582.0 68.78 153.4 78.7 q0a0 
8 24 -1 396.71 126.37 275.0 67.68 216.6 51.5 q0a1 
8 40 6 124.45 75.18 69.0 25.87 351.4 808.5 q0a9 
8 44 7 106.17 57.89 54.0 27.43 289.2 851.9 q0a9 
8 58 7 -21.3 44.49 44.0 20.7 72.8 1020.8 q0a10 
9 -5 -49 309.23 89.29 89.0 30.08 1494.1 389.8 q3a5 
9 -1 -37 -410.72 169.59 132.0 61.28 1523.2 72.3 q3a1 
9 1 -33 -293.95 289.97 295.0 69.63 1524.9 128.9 q3a1 
9 5 -25 -134.3 388.17 388.0 70.9 1528.4 212.4 q3a3 
9 7 -22 -1017.77 355.47 306.0 78.3 1534.4 257.5 q3a3 
9 15 -12 -32.05 193.04 256.0 68.16 32.2 72.0 q0a0 
9 17 -10 -97.67 104.65 122.0 67.67 68.5 61.0 q0a0 
9 23 -5 -38.01 160.6 164.0 69.37 170.9 22.4 q0a0 
9 37 2 42.17 62.92 55.0 30.43 319.9 380.7 q0a5 
9 41 3 -90.51 100.5 80.0 26.83 369.3 858.7 q0a9 
9 45 4 13.76 71.15 96.0 28.64 306.9 903.6 q0a9 
9 57 4 -79.85 58.88 66.0 20.65 124.4 1048.1 q0a10 
10 -6 -70 56.81 48.33 60.0 19.19 1473.4 1049.4 q3a11 
10 -6 -69 86.26 54.73 53.0 19.14 1479.7 1035.3 q3a11 
10 -6 -68 20.3 53.49 45.0 19.3 1485.9 1021.4 q3a11 
10 -6 -67 51.09 76.97 77.0 20.71 1492.1 1007.6 q3a11 
10 -4 -56 -151.36 151.65 135.0 24.56 1532.3 879.5 q3a9 
10 -4 -55 252.51 104.6 83.0 22.89 1537.9 867.3 q3a9 
10 0 -42 61.7 123.65 125.0 45.62 1186.4 1464.0 q3a14 
10 2 -37 150.28 87.09 98.0 43.57 1254.7 1468.1 q3a14 
10 4 -33 -264.99 240.89 202.0 59.35 1311.4 1467.0 q3a14 
10 8 -26 -45.65 381.64 508.0 68.01 1410.1 1459.9 q3a15 
10 10 -23 1092.87 144.89 618.0 58.53 1455.6 1453.9 q3a15 
10 12 -20 -798.75 311.69 231.0 80.36 1500.9 1447.9 q3a15 
10 38 -1 -20.2 83.52 66.0 30.8 270.1 398.8 q0a5 
10 48 1 -41.35 43.27 40.0 22.15 296.5 956.4 q0a11 
10 50 1 71.09 48.05 39.0 21.71 266.8 984.8 q0a11 
10 52 1 57.34 69.71 91.0 22.46 236.2 1014.1 q0a11 
10 54 1 -51.84 60.73 50.0 22.04 204.8 1044.2 q0a11 
10 56 1 -117.67 85.01 60.0 21.07 175.5 1075.1 q0a10 
11 -3 -66 -7.75 62.12 48.0 18.75 1439.6 970.4 q3a11 
11 -3 -65 58.34 59.97 42.0 18.46 1446.0 957.0 q3a11 
11 -3 -64 -28.21 54.21 39.0 19.41 1452.3 943.7 q3a11 
11 -1 -55 11.55 60.14 100.0 24.21 1482.2 843.8 q3a9 
11 -1 -54 -65.74 67.9 51.0 22.97 1488.1 831.8 q3a9 
11 3 -42 122.39 93.77 89.0 40.24 1209.7 1410.7 q3a14 
11 5 -37 -14.46 100.38 136.0 46.72 1278.1 1415.4 q3a14 
11 7 -33 248.61 148.7 170.0 51.13 1334.9 1414.8 q3a14 
11 9 -30 -156.99 133.78 128.0 52.45 1378.4 1408.8 q3a15 
11 13 -24 192.79 89.0 97.0 51.47 1470.6 1396.9 q3a15 
11 15 -21 50.9 166.67 204.0 58.29 1516.3 1391.0 q3a15 
11 19 -17 399.9 199.29 307.0 53.29 380.9 720.9 q0a7 
11 21 -15 19.73 173.6 160.0 53.58 369.5 683.6 q0a7 
11 23 -13 -90.45 178.22 176.0 47.09 358.1 646.2 q0a7 
11 27 -10 108.22 93.08 94.0 41.24 329.3 578.8 q0a7 
11 31 -8 71.89 54.93 87.0 32.23 293.2 545.7 q0a5 
11 33 -7 -43.18 61.72 58.0 31.92 275.2 514.4 q0a5 
11 35 -6 40.29 63.29 56.0 28.91 256.9 482.5 q0a5 
11 37 -5 73.42 57.96 52.0 28.18 238.4 450.2 q0a5 
11 45 -3 79.9 70.51 56.0 21.9 378.9 961.7 q0a11 
11 47 -3 46.01 59.14 40.0 21.59 350.7 989.9 q0a11 
12 0 -65 -10.06 52.5 42.0 19.06 1387.0 933.2 q3a11 
12 2 -55 -22.71 57.43 61.0 22.91 1425.9 820.1 q3a9 
12 2 -54 72.38 56.12 42.0 21.62 1432.1 808.1 q3a9 
12 6 -42 78.03 84.6 74.0 35.92 1233.2 1356.7 q3a14 
12 8 -38 16.43 90.54 98.0 42.46 1291.5 1356.5 q3a14 
12 10 -34 -203.14 146.3 128.0 45.49 1348.9 1356.3 q3a14 
12 12 -31 163.29 81.95 80.0 43.97 1392.8 1350.4 q3a15 
12 14 -28 11.91 81.49 72.0 45.14 1439.5 1344.6 q3a15 
12 16 -25 17.09 90.33 94.0 50.67 1485.9 1338.7 q3a15 
12 18 -23 -46.42 95.03 102.0 48.89 1523.2 1327.1 q3a15 
12 22 -19 -48.97 99.69 117.0 43.18 316.4 712.7 q0a7 
12 24 -17 -40.36 72.5 88.0 40.44 304.7 674.9 q0a7 
12 28 -14 81.87 73.47 73.0 36.33 274.9 606.8 q0a7 
12 38 -9 127.68 77.9 56.0 23.21 183.4 476.7 q0a4 
12 40 -8 -69.71 75.26 64.0 25.91 163.9 443.6 q0a4 
12 44 -7 14.99 50.2 46.0 22.61 116.2 383.1 q0a4 
13 5 -55 -77.58 64.52 43.0 20.11 1368.9 796.1 q3a9 
13 25 -21 -27.31 63.42 74.0 36.23 249.8 704.3 q0a7 
13 29 -18 84.32 73.14 72.0 34.22 219.0 635.6 q0a7 
13 39 -13 124.12 65.29 145.0 23.88 123.8 504.0 q0a4 
13 41 -12 47.6 49.91 47.0 23.6 103.5 470.7 q0a4 
13 45 -11 -102.11 62.89 49.0 23.51 53.8 409.9 q0a4 
13 47 -11 50.22 48.06 38.0 20.98 24.0 382.2 q0a4 
14 6 -71 23.67 52.06 44.0 14.93 1223.5 966.8 q3a10 
14 6 -70 233.62 66.41 44.0 13.38 1231.4 952.7 q3a10 
14 6 -69 -141.71 78.57 48.0 15.91 1239.3 938.8 q3a10 
14 8 -58 -92.51 71.81 52.0 23.11 1293.1 808.0 q3a8 
14 8 -57 -88.66 70.39 49.0 21.46 1300.2 795.8 q3a8 
14 12 -46 100.46 61.82 58.0 25.28 1238.0 1248.6 q3a12 
14 14 -42 -209.04 119.92 117.0 29.9 1298.1 1249.3 q3a12 
14 18 -35 -28.0 70.99 87.0 28.0 1402.7 1244.2 q3a13 
14 20 -32 -187.7 71.65 54.0 29.73 1450.9 1238.4 q3a13 
14 22 -30 116.72 69.1 55.0 27.92 1489.4 1226.1 q3a13 
14 24 -28 -125.96 105.97 87.0 28.1 1528.0 1213.6 q3a13 
14 28 -24 229.25 95.43 72.0 25.34 177.1 704.4 q0a6 
14 32 -21 295.68 77.81 77.0 25.78 144.9 634.2 q0a6 
14 34 -20 90.26 57.35 57.0 26.14 124.8 602.8 q0a6 
14 36 -19 -94.56 64.51 53.0 27.85 104.5 570.9 q0a6 
14 40 -17 52.6 45.83 51.0 22.09 62.5 532.1 q0a4 
14 44 -16 -9.78 52.08 61.0 22.98 11.6 472.3 q0a4 
15 11 -62 -86.15 64.56 44.0 20.35 1202.7 833.3 q3a8 
15 11 -61 10.03 55.51 48.0 19.77 1210.5 820.6 q3a8 
15 15 -49 34.89 71.11 68.0 26.7 1229.2 1169.9 q3a12 
15 17 -45 35.48 50.45 48.0 24.95 1290.8 1171.3 q3a12 
15 21 -38 92.11 54.88 50.0 23.67 1397.9 1167.0 q3a13 
15 23 -35 82.8 61.33 56.0 24.88 1447.1 1161.3 q3a13 
15 25 -33 21.82 54.76 57.0 25.64 1486.4 1148.4 q3a13 
15 27 -31 -11.09 59.81 51.0 25.72 1525.9 1135.5 q3a13 
15 33 -26 -62.22 56.13 48.0 27.02 77.4 673.4 q0a6 
15 35 -25 63.29 45.97 42.0 24.91 56.5 641.6 q0a6 
15 37 -24 -18.7 58.12 49.0 25.81 35.2 609.4 q0a6 
15 39 -23 133.6 67.41 70.0 25.6 13.5 576.6 q0a6 
-7 -43 -21 112.58 135.46 126.0 54.95 549.1 399.9 q1a4 
-7 -39 -21 219.43 130.87 165.0 63.24 598.6 452.8 q1a5 
-7 -37 -22 816.61 132.75 245.0 64.76 614.9 486.2 q1a5 
-7 -35 -23 -464.07 243.89 257.0 80.04 631.0 519.2 q1a5 
-7 -31 -28 81.78 122.17 124.0 76.56 636.6 579.7 q1a7 
-7 -31 -27 86.17 145.9 134.0 77.83 645.4 571.6 q1a7 
-7 -29 -34 -112.51 134.29 130.0 83.83 608.0 652.4 q1a7 
-7 -29 -33 52.57 125.49 238.0 84.76 617.0 644.1 q1a7 
-7 -29 -32 166.78 113.29 188.0 82.56 625.9 635.8 q1a7 
-7 -29 -31 347.03 111.79 134.0 77.92 634.8 627.5 q1a7 
-6 -54 -12 191.7 84.96 112.0 38.62 601.4 1011.4 q1a11 
-6 -46 -8 -86.44 77.21 82.0 50.66 690.0 889.4 q1a9 
-6 -42 -7 121.89 126.3 127.0 54.23 738.4 829.6 q1a9 
-6 -36 -8 139.53 172.21 189.0 75.4 757.3 389.2 q1a5 
-6 -20 -53 -97.5 127.36 124.0 66.5 225.6 1185.4 q0a13 
-6 -20 -52 -366.18 156.65 171.0 71.31 234.8 1194.7 q0a13 
-6 -18 -39 96.78 149.65 182.0 121.66 330.4 1308.1 q0a15 
-6 -18 -38 -569.7 243.3 292.0 134.61 339.0 1316.6 q0a15 
-6 -18 -37 220.43 188.55 211.0 129.24 347.5 1325.0 q0a15 
-5 -57 -4 -31.64 65.08 56.0 35.16 485.4 969.3 q1a10 
-5 -53 -1 57.33 120.74 108.0 46.67 527.4 910.0 q1a8 
-5 -51 0 -33.91 136.22 113.0 44.75 551.4 873.5 q1a8 
-5 -47 1 -86.92 89.28 109.0 48.92 601.5 812.5 q1a9 
-5 -43 2 -1.27 107.32 103.0 52.31 652.2 754.5 q1a9 
-5 -37 1 -179.92 173.7 171.0 88.24 406.5 1418.3 q1a14 
-5 -35 1 -314.6 198.85 187.0 95.93 429.0 1444.5 q1a14 
-5 -31 -1 892.61 216.47 578.0 128.44 757.3 73.5 q1a1 
-5 -29 -2 -14.9 352.88 455.0 144.96 725.3 87.2 q1a1 
-5 -25 -5 2331.58 368.94 1177.0 163.25 655.4 106.3 q1a1 
-5 -23 -7 2249.0 440.39 1157.0 158.57 617.3 111.9 q1a1 
-5 -19 -12 -182.16 224.28 201.0 123.27 537.5 115.3 q1a0 
-5 -17 -64 196.4 113.17 103.0 55.4 83.1 1124.6 q0a12 
-5 -17 -16 948.0 199.0 906.0 117.0 484.9 105.5 q1a0 
-5 -15 -59 -62.46 196.05 269.0 62.48 113.0 1199.9 q0a12 
-5 -15 -21 31.6 201.17 215.0 119.93 424.2 88.1 q1a0 
-5 -15 -20 -10.94 162.8 177.0 116.75 432.2 95.8 q1a0 
-5 -13 -53 32.37 178.09 216.0 69.89 150.8 1280.6 q0a12 
-5 -13 -27 1028.34 576.96 444.0 186.07 375.1 1470.4 q0a15 
-4 -56 5 -120.41 86.9 76.0 41.64 423.5 886.2 q1a8 
-4 -54 6 -92.09 88.68 85.0 43.25 449.5 849.2 q1a8 
-4 -52 7 18.91 76.56 70.0 42.68 474.6 813.3 q1a8 
-4 -50 8 -87.22 72.61 72.0 42.02 499.1 778.4 q1a8 
-4 -44 9 -242.19 102.94 96.0 54.49 402.4 1284.3 q1a12 
-4 -40 9 125.27 149.97 126.0 69.4 448.8 1313.5 q1a14 
-4 -38 9 -202.41 158.44 139.0 75.36 471.2 1341.2 q1a14 
-4 -34 8 -180.15 185.17 197.0 101.55 506.7 1402.0 q1a14 
-4 -32 7 95.65 402.32 339.0 113.95 520.0 1435.2 q1a14 
-4 -26 4 4442.67 532.22 2229.0 174.76 736.0 175.7 q1a1 
-4 -10 -62 158.31 123.33 117.0 63.77 25.3 1242.7 q0a12 
-4 -8 -55 -36.2 165.69 155.0 80.88 75.2 1303.4 q0a14 
-4 -8 -25 47.0 179.98 228.0 92.0 332.1 317.4 q0a3 
-4 -8 -24 -99.88 215.54 384.0 95.24 324.6 325.5 q0a3 
-3 -53 13 90.97 79.2 88.0 41.08 403.8 761.7 q1a8 
-3 -47 15 -1.36 76.79 95.0 47.56 428.5 1187.2 q1a12 
-3 -45 15 -149.64 92.0 83.0 49.73 452.1 1217.6 q1a12 
-3 -37 15 215.24 154.02 179.0 83.34 541.8 1305.5 q1a14 
-3 -23 9 1452.79 308.76 527.0 115.13 739.3 227.7 q1a3 
-3 -11 -75 -120.69 105.45 98.0 47.69 15.6 824.9 q0a8 
-3 -9 -72 94.66 90.11 79.0 45.54 74.8 810.6 q0a8 
-3 -9 -8 12504.06 366.4 7990.0 37.94 459.2 237.6 q1a2 
